n,data_prevista,pilar,origem,titulo,keyword,status,publicado_em,slug,responsavel,observacoes
208,sex 12/03/27,P6,KW,Caso de uso AR no varejo: sete aplicações com resultado medido,caso de uso AR no varejo,a fazer,,,,
209,sáb 13/03/27,P7,KW,GEO para e-commerce: como funciona na prática,GEO para e-commerce como funciona,a fazer,,,,
210,dom 14/03/27,P7,KW,E-commerce com agentes de IA: o que muda na sua operação,e-commerce com agentes de IA,a fazer,,,,
211,seg 15/03/27,P1,Pauta,O que é Phygitech: o conceito que redefine a relação entre marcas e consumidores,Phygitech,a fazer,,,,
212,ter 16/03/27,P4,KW,Viral marketing imersivo: quando a imersão é o que faz compartilhar,viral marketing imersivo,a fazer,,,,
213,qua 17/03/27,P7,KW,Spatial computing varejo: o catálogo pronto para o Apple Vision Pro,spatial computing varejo,a fazer,,,,
214,qui 18/03/27,P7,KW,Frictionless commerce: tirar o atrito de cada etapa da compra,frictionless commerce,a fazer,,,,
215,sex 19/03/27,P1,KW,Como sair da dependência de mídia paga: construir demanda que não desliga,como sair da dependência de mídia paga,a fazer,,,,
216,sáb 20/03/27,P3,KW,Mobile AR e-commerce: a experiência que nasce no celular,mobile AR e-commerce,a fazer,,,,
217,dom 21/03/27,P2,KW,"mK Beauty: provador virtual de maquiagem, coloração e esmaltes",mK Beauty,a fazer,,,,
218,seg 22/03/27,P4,KW,Melhores exemplos de vídeos CGI hiper-realistas: e o que aprender com cada um,melhores exemplos de vídeos CGI hiper-realistas,a fazer,,,,
219,ter 23/03/27,P4,KW,Press kit digital AR: o material que o influenciador quer postar,press kit digital AR,a fazer,,,,
220,qua 24/03/27,P6,KW,"Mercado Immersive Commerce global: tamanho, crescimento e onde o Brasil está",mercado Immersive Commerce global,a fazer,,,,
221,qui 25/03/27,P7,KW,E-commerce preparado para IA 2026: o checklist antes de os agentes chegarem,e-commerce preparado para IA 2026,a fazer,,,,
222,sex 26/03/27,P1,KW,State of Immersive Commerce 2026: o que o primeiro estudo do gênero revelou,State of Immersive Commerce 2026,a fazer,,,,
223,sáb 27/03/27,P1,KW,Fotografia estática e-commerce problema: por que a foto não convence mais,fotografia estática e-commerce problema,a fazer,,,,
224,dom 28/03/27,P3,KW,Digital twin produto e-commerce: o gêmeo digital chega ao varejo,digital twin produto e-commerce,a fazer,,,,
225,seg 29/03/27,P4,KW,Animação 3D publicitária Brasil: o mercado e como contratar,animação 3D publicitária Brasil,a fazer,,,,
226,ter 30/03/27,P5,KW,Como justificar ROI tecnologia imersiva CFO: o framework para a reunião de orçamento,como justificar ROI tecnologia imersiva CFO,a fazer,,,,
227,qua 31/03/27,P6,KW,Clientes metaKosmos resultados: o que cada marca mediu depois de implementar,clientes metaKosmos resultados,a fazer,,,,
228,qui 01/04/27,P6,KW,"Dados provador virtual mercado: tamanho, adoção e performance por vertical",dados provador virtual mercado,a fazer,,,,
229,sex 02/04/27,P7,KW,Compra autônoma por IA: quando o agente decide e paga,compra autônoma por IA,a fazer,,,,
230,sáb 03/04/27,P7,KW,Agente IA assistant compras online: o assistente que compara e escolhe por você,agente IA assistant compras online,a fazer,,,,
231,dom 04/04/27,P3,KW,Foto 360 produto versus 3D diferenças: as diferenças técnicas que importam,foto 360 produto versus 3D diferenças,a fazer,,,,
232,seg 05/04/27,P2,KW,Beauty tech Brasil: o mapa da tecnologia aplicada à beleza,beauty tech Brasil,a fazer,,,,
233,ter 06/04/27,P1,KW,"Solução imersiva para e-commerce: como escolher entre 3D, AR e provador virtual",solução imersiva para e-commerce,a fazer,,,,
234,qua 07/04/27,P6,KW,Case visualizador 3D móveis: 20 milhões de visualizações na Flexform,case visualizador 3D móveis,a fazer,,,,
235,qui 08/04/27,P6,KW,mKases metaKosmos: o método de documentar resultado,mKases metaKosmos,a fazer,,,,
236,sex 09/04/27,P6,KW,Virtual try-on resultado real: os resultados reais,virtual try-on resultado real,a fazer,,,,
237,sáb 10/04/27,P7,KW,Futuro do Immersive Commerce: para onde a categoria caminha até 2030,futuro do Immersive Commerce,a fazer,,,,
238,dom 11/04/27,P7,KW,Agentic Commerce Brasil: o que as marcas precisam saber,Agentic Commerce Brasil,a fazer,,,,
239,seg 12/04/27,P7,KW,Como adaptar e-commerce para agentes IA: o passo a passo do catálogo legível,como adaptar e-commerce para agentes IA,a fazer,,,,
240,ter 13/04/27,P4,KW,Branded content imersivo: conteúdo de marca que o público escolhe ver,branded content imersivo,a fazer,,,,
241,qua 14/04/27,P3,KW,Estoque infinito varejo AR: como a AR vende o que não cabe na loja,estoque infinito varejo AR,a fazer,,,,
242,qui 15/04/27,P2,KW,Provador virtual moda casos de uso: casos de uso por categoria,provador virtual moda casos de uso,a fazer,,,,
243,sex 16/04/27,P4,KW,Material de lançamento produto imersivo: o kit que faz o produto estrear grande,material de lançamento produto imersivo,a fazer,,,,
244,sáb 17/04/27,P6,KW,"Cases de ROI com tecnologia imersiva: os retornos acima de 10x, documentados",cases de ROI com tecnologia imersiva,a fazer,,,,
245,dom 18/04/27,P6,KW,3D e-commerce resultado caso real: os números de quem colocou o catálogo em 3D,3D e-commerce resultado caso real,a fazer,,,,
246,seg 19/04/27,P7,KW,Provador virtual via chatbot: experimentar sem sair da conversa,provador virtual via chatbot,a fazer,,,,
247,ter 20/04/27,P4,KW,"Como contratar produtora FOOH com IA no Brasil: critérios, prazos e o que pedir na proposta",como contratar produtora FOOH com IA no Brasil,a fazer,,,,
248,qua 21/04/27,P4,KW,"FOOH vs OOH diferença: custo, alcance e mensuração comparados",FOOH vs OOH diferença,a fazer,,,,
249,qui 22/04/27,P2,KW,Cross-sell fashion e-commerce: como vender o look e não a peça,cross-sell fashion e-commerce,a fazer,,,,
250,sex 23/04/27,P7,KW,IA autônoma fazendo compras: o cenário que já roda nos Estados Unidos,IA autônoma fazendo compras,a fazer,,,,
251,sáb 24/04/27,P1,KW,Definição de comércio imersivo: a definição completa do termo no Brasil,definição de comércio imersivo,a fazer,,,,
252,dom 25/04/27,P1,KW,Lacuna de imaginação consumidor: o conceito que explica por que o consumidor não compra,lacuna de imaginação consumidor,a fazer,,,,
253,seg 26/04/27,P2,KW,Custo devolução e-commerce de moda calculadora: quanto sua marca perde por mês com devoluções,custo devolução e-commerce de moda calculadora,a fazer,,,,
254,ter 27/04/27,P3,KW,"AR para alto ticket médio: quanto maior o preço, maior a dúvida",AR para alto ticket médio,a fazer,,,,
255,qua 28/04/27,P4,KW,FOOH para marcas de luxo: impacto sem perder a sofisticação,FOOH para marcas de luxo,a fazer,,,,
256,qui 29/04/27,P4,KW,Publicidade imersiva o que é: o formato que substitui o anúncio interrompido,publicidade imersiva o que é,a fazer,,,,
257,sex 30/04/27,P6,KW,Relatório Immersive Commerce Brasil: os dados proprietários do State of 2026,relatório Immersive Commerce Brasil,a fazer,,,,
258,sáb 01/05/27,P7,KW,Imersivo conversacional e-commerce: a fusão que só a mK opera hoje,imersivo conversacional e-commerce,a fazer,,,,
259,dom 02/05/27,P7,KW,Checkout por IA e-commerce: o pagamento que acontece dentro do chat,checkout por IA e-commerce,a fazer,,,,
260,seg 03/05/27,P5,KW,Framework ROI Immersive Commerce: as três contas que sustentam a decisão,framework ROI Immersive Commerce,a fazer,,,,
261,ter 04/05/27,P4,KW,Ativações de marca em XR para eventos: a experiência que a plateia leva no celular,ativações de marca em XR para eventos,a fazer,,,,
262,qua 05/05/27,P4,KW,Como medir ROI de FOOH: as métricas que vão além da visualização,como medir ROI de FOOH,a fazer,,,,
263,qui 06/05/27,P7,KW,MCP protocol e-commerce: como o protocolo conecta agentes ao catálogo,MCP protocol e-commerce,a fazer,,,,
264,sex 07/05/27,P7,KW,E-commerce conversacional agêntico: a próxima interface de compra,e-commerce conversacional agêntico,a fazer,,,,
265,sáb 08/05/27,P2,KW,Prova virtual resultado beleza: os resultados reais das marcas brasileiras,prova virtual resultado beleza,a fazer,,,,
266,dom 09/05/27,P7,KW,Catálogo 3D para agentes de IA: estruturar o produto para ser lido por máquina,catálogo 3D para agentes de IA,a fazer,,,,
267,seg 10/05/27,P7,KW,Catálogo 3D para IA: o ativo que torna a marca visível para agentes,catálogo 3D para IA,a fazer,,,,
268,ter 11/05/27,P7,KW,"Catálogo 3D para agentes IA: metadados, formato e indexação",catálogo 3D para agentes IA,a fazer,,,,
269,qua 12/05/27,P7,KW,Realidade aumentada via agente IA: quando o agente abre a câmera por você,realidade aumentada via agente IA,a fazer,,,,
270,qui 13/05/27,P4,KW,28x mais lembrança de marca: o dado por trás do marketing imersivo,28x mais lembrança de marca,a fazer,,,,
271,sex 14/05/27,P6,KW,ROI 40x tecnologia imersiva: como esse retorno é calculado,ROI 40x tecnologia imersiva,a fazer,,,,
272,sáb 15/05/27,P6,KW,Mascavo case provador virtual: 2 milhões de provas virtuais no primeiro mês,Mascavo case provador virtual,a fazer,,,,
273,dom 16/05/27,P6,KW,Conversão 315% provador virtual beleza: como esse número foi construído,conversão 315% provador virtual beleza,a fazer,,,,
274,seg 17/05/27,P7,KW,"Como mK usa GEO para dominar IAs: o método aberto, para a sua marca copiar",como mK usa GEO para dominar IAs,a fazer,,,,
275,ter 18/05/27,P7,KW,AI shopping agent: o que é e como opera,AI shopping agent,a fazer,,,,
276,qua 19/05/27,P7,KW,Instant Checkout AI: o que OpenAI e Stripe lançaram dentro do ChatGPT,Instant Checkout AI,a fazer,,,,
277,qui 20/05/27,P6,KW,Flexform case 3D AR: 20 milhões de visualizações em 3D,Flexform case 3D AR,a fazer,,,,
278,sex 21/05/27,P6,KW,Redução 61% devoluções provador virtual: a origem do dado,redução 61% devoluções provador virtual,a fazer,,,,
279,sáb 22/05/27,P7,KW,"UCP universal commerce protocol: o padrão de Google, Shopify e Walmart",UCP universal commerce protocol,a fazer,,,,
280,dom 23/05/27,P7,KW,AI-ready catalog varejo: preparar o varejo para os agentes,AI-ready catalog varejo,a fazer,,,,
281,seg 24/05/27,P7,KW,MCP protocol ecommerce: implementação no e-commerce,MCP protocol ecommerce,a fazer,,,,
282,ter 25/05/27,P7,KW,Try-on dentro do ChatGPT: experimentar a peça sem sair do chat,try-on dentro do ChatGPT,a fazer,,,,
283,qua 26/05/27,P6,KW,"Case mK 315% conversão beleza: o número, a origem e a metodologia",case mK 315% conversão beleza,a fazer,,,,
284,qui 27/05/27,P1,KW,Phygitech Brasil: quem opera a fusão entre físico e digital,Phygitech Brasil,a fazer,,,,
285,sex 28/05/27,P6,KW,"Toymania case 3D e-commerce: 6,2x mais adições ao carrinho",Toymania case 3D e-commerce,a fazer,,,,
286,sáb 29/05/27,P7,KW,Agentic Commerce Brasil pioneiros: os pioneiros,Agentic Commerce Brasil pioneiros,a fazer,,,,
287,dom 30/05/27,P7,KW,AI buying agent: o comprador que não é gente,AI buying agent,a fazer,,,,
288,seg 31/05/27,P7,KW,Agentic AI para varejo: o que muda na operação de quem vende,agentic AI para varejo,a fazer,,,,
289,ter 01/06/27,P6,KW,Época Cosméticos case e-commerce: +60% em conversão no primeiro mês,Época Cosméticos case e-commerce,a fazer,,,,
290,qua 02/06/27,P6,KW,Gregory case provador virtual moda: provador virtual em todo lançamento,Gregory case provador virtual moda,a fazer,,,,
291,qui 03/06/27,P7,KW,ACP agentic commerce protocol OpenAI: o protocolo de commerce da OpenAI e Stripe,ACP agentic commerce protocol OpenAI,a fazer,,,,
292,sex 04/06/27,P7,KW,Autonomous AI purchase: a compra sem humano no meio,autonomous AI purchase,a fazer,,,,
293,sáb 05/06/27,P7,KW,Agentic Commerce Protocol: o que o ACP define,Agentic Commerce Protocol,a fazer,,,,
294,dom 06/06/27,P7,KW,Agentic Commerce: exemplos no Brasil,Agentic Commerce exemplos no Brasil,a fazer,,,,
295,seg 07/06/27,P7,KW,"Protocolo de comércio agêntico: MCP, UCP e ACP explicados",protocolo de comércio agêntico,a fazer,,,,
296,ter 08/06/27,P7,KW,OpenAI Stripe commerce: o que a parceria muda,OpenAI Stripe commerce,a fazer,,,,
297,qua 09/06/27,P7,KW,Provador virtual agêntico: o conceito que a mK está plantando para 2027,provador virtual agêntico,a fazer,,,,
298,qui 10/06/27,P7,KW,AI-ready cataloging: o serviço que prepara o catálogo,AI-ready cataloging,a fazer,,,,
299,sex 11/06/27,P7,KW,Catálogo legível por IA: o requisito para existir no comércio agêntico,catálogo legível por IA,a fazer,,,,
300,sáb 12/06/27,P7,KW,Anthropic MCP varejo: o protocolo aplicado ao catálogo de produto,Anthropic MCP varejo,a fazer,,,,
301,dom 13/06/27,P7,KW,State of Immersive Agentic Commerce: o estudo que une as duas fronteiras,State of Immersive Agentic Commerce,a fazer,,,,
302,seg 14/06/27,P7,KW,Agentic Commerce imersivo: a posição única da mK,Agentic Commerce imersivo,a fazer,,,,
303,ter 15/06/27,P7,KW,llms.txt dinâmico catálogo: expor seu catálogo para LLMs,llms.txt dinâmico catálogo,a fazer,,,,
